date,mnav,ev,btc_nav
2026-04-10,1.0624784672064878,58378655839.9243,54945730800
2026-04-11,1.0443029508310333,58306686842.5757,55833115090
2026-04-12,1.0596451488179577,58306686842.5757,55024728710
2026-04-13,1.070869855497834,58306686842.5757,54447967270
2026-04-14,1.0453488089465577,59523610808.4243,56941386740
2026-04-15,1.0776562371485816,61175618261.29581,56767284550
2026-04-16,1.0976030635445464,63180921711.83269,57562632440
2026-04-17,1.131510714263627,65966426658.197205,58299427329
2026-04-18,1.1904665655243365,71717372498.97011,60243079962
2026-04-19,1.215036298573022,71717372498.97011,59024880642
2026-04-20,1.235019212026686,71717372498.97011,58069843611
2026-04-21,1.224225690305828,75675561608.76715,61815041301
2026-04-22,1.153712877996408,73423185076.24142,63640777941
2026-04-23,1.2335819736188964,78491034786.74571,63628552026
2026-04-24,1.1997993833041427,76222192499.74142,63529114584
2026-04-25,1.1980938292268744,75744715767.71999,63221021526
2026-04-26,1.1909236599619613,75744715767.71999,63601655013
2026-04-27,1.193723133690581,75744715767.71999,63452498850
2026-04-28,1.2033431822337026,75391007357.0415,62651293887
2026-04-29,1.1799759610026923,74236704980.90869,62913743529
2026-04-30,1.1644126236035932,71749489195.9668,61618611600
2026-05-01,1.1798318502067722,74150707637.0415,62848538649
2026-05-02,1.2242043556812603,78027058099.0249,63736955139
2026-05-03,1.2253168698791586,78027058099.0249,63679085808
2026-05-04,1.2012090495121324,78027058099.0249,64957101456
2026-05-05,1.216527865166015,80219909618.9585,65941695144
2026-05-06,1.22631670508179,81245221026.08301,66251418324
2026-05-07,1.2300334396311612,81218765739.90039,66029721732
2026-05-08,1.21488028457062,78910150894.0498,64953026151
2026-05-09,1.2432408785643767,81484885599.5263,65542315254
2026-05-10,1.239464560791428,81484885599.5263,65742005199
2026-05-11,1.2388655482028772,81484885599.5263,65773792578
2026-05-12,1.2735390556572057,84247131262.3158,66151980882
2026-05-13,1.218843244159244,80478886815.16959,66028906671
2026-05-14,1.2045603911597855,78363548152.27972,65055723837
2026-05-15,1.238323008968697,81323037137.72028,65671909953
2026-05-16,1.2157590653378774,78161614193.16959,64290381558
2026-05-17,1.2282945903925953,78161614193.16959,63634257453
2026-05-18,1.2454756553031467,78161614193.16959,62756436756
2026-05-19,1.1873880864644024,74661414411.2024,62878695906
2026-05-20,1.174925983863936,73998475831.2024,62981393592
2026-05-21,1.175871066705339,74389607165.6488,63263404698
2026-05-22,1.1744727286544934,74071399479.62799,63067790058
2026-05-23,1.1788120976913947,72427309575.7872,61440928302
2026-05-24,1.1551518803547918,72427309575.7872,62699382486
2026-05-25,1.1507985747720413,72427309575.7872,62936565237
2026-05-26,1.1608864414622937,72427309575.7872,62389659306
2026-05-27,1.1717222753736205,72440566121.94641,61824006972
2026-05-28,1.1809030193208825,70541248506.436,59735005629
2026-05-29,1.1666020968486488,69692687933.2872,59739895995
2026-05-30,1.2033580888599682,72162133132.2232,59967298014
2026-05-31,1.1999656830905003,72162133132.2232,60136830702
2026-06-01,1.2150504766253576,72162133132.2232,59390234826
2026-06-02,1.2153325278372469,69196277511.9154,56936086155
2026-06-03,1.184274594448877,64644161935.12689,54585450231
2026-06-04,1.1910155288713893,61477617004.21149,51617813130
2026-06-05,1.2155598453295413,62414619388.66162,51346397817
2026-06-06,1.1981893848044625,59447439256.16919,49614393192
2026-06-07,1.1724566652491195,59447439256.16919,50703314688
2026-06-08,1.1562489573845471,59447439256.16919,51414047880
2026-06-09,1.2023945522795758,61872892426.48676,51458061174
2026-06-10,1.164246289609221,58476020925.53543,50226504003
2026-06-11,1.1303692401498031,57918774460.24338,51238809765
2026-06-12,1.153645395880741,59520443721.75662,51593361300
2026-06-13,1.169464849743468,60795104596.8053,51985405641
2026-06-14,1.1579185243256924,60795104596.8053,52503784437
2026-06-15,1.1383559853105447,60795104596.8053,53406056964
2026-06-16,1.164056368128441,63187595924.09735,54282247539
2026-06-17,1.1465360443530668,60620808379.08954,52873007070
2026-06-18,1.1132371591998225,58524474397.83954,52571434500
2026-06-19,1.121339205074649,57172758656.16977,50986140855
2026-06-20,1.1013561622459516,57172758656.16977,51911235090
2026-06-21,1.0959700947368818,57172758656.16977,52166349183
2026-06-22,1.0958502417348015,57172758656.16977,52172054610
2026-06-23,1.1008473897943234,56440205781.39432,51269782083
2026-06-24,1.068505288668041,54539923941.57727,51043195125
2026-06-25,1.018115334152761,51256698691.18295,50344687848
2026-06-26,0.977415518225884,48281171410.211365,49396771905
2026-06-27,0.9606106243093824,47260022572.05151,49197897021
2026-06-28,0.964381170793158,47260022572.05151,49005542625
2026-06-29,0.9693468059905818,47260022572.05151,48754503837
2026-06-30,1.048046716041085,50766413722.86856,48439075230
2026-07-01,1.0210173910585576,48822176135.86856,47817183687
2026-07-02,1.0408655530543665,51006484489.26288,49003912503
2026-07-03,1.0642792856368453,53501870237.44583,50270517297
2026-07-04,1.0515772243796049,53501870237.44583,50877737742
2026-07-05,1.0468145552295427,53501870237.44583,51109215066
2026-07-06,1.0420286614633727,53501870237.44583,51343952634
2026-07-07,1.0385828758163964,53501870237.44583,51514300383
2026-07-09,0.9998740052648109,51168787196.81705,51175235007
2026-07-10,0.9822500044012846,51175548627.26288,52100329242
2026-07-11,0.9840232441388548,51429144834.26288,52264156503
2026-07-12,0.9906198581373364,51429144834.26288,51916125456
2026-07-13,1.0052817959105227,51429144834.26288,51158933787
2026-07-14,0.9994461144335308,51014108426.40432,51042380064
2026-07-15,0.999708738741598,52893459450.01482,52908869754
2026-07-16,0.9996733303715716,52855735064.426544,52873007070
2026-07-17,1.0088372388436824,51675996351.073456,51223323606
2026-07-18,0.997549570234045,51957212833.15432,52084843083
